Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2005-09-21,Milan,Lazio,2,0,H,2.0,0.0,H,2005-2006,12.0,8.0,7.0,3.0,17.0,14.0,5.0,2.0,0.0,1.0,0.0,0.0
2005-09-21,Palermo,Reggina,1,0,H,0.0,0.0,D,2005-2006,16.0,8.0,10.0,3.0,17.0,19.0,10.0,5.0,2.0,4.0,0.0,0.0
2005-09-21,Roma,Parma,4,1,H,3.0,1.0,H,2005-2006,18.0,8.0,12.0,2.0,17.0,14.0,7.0,6.0,2.0,3.0,0.0,0.0
2005-09-21,Treviso,Sampdoria,0,2,A,0.0,1.0,A,2005-2006,11.0,9.0,4.0,6.0,15.0,12.0,3.0,5.0,3.0,0.0,0.0,0.0
2005-09-21,Udinese,Juventus,0,1,A,0.0,1.0,A,2005-2006,6.0,7.0,3.0,3.0,24.0,18.0,3.0,1.0,3.0,1.0,0.0,0.0
2005-09-24,Parma,Juventus,1,2,A,1.0,1.0,D,2005-2006,5.0,8.0,3.0,6.0,27.0,27.0,2.0,5.0,3.0,3.0,0.0,0.0
2005-09-24,Reggina,Udinese,2,0,H,1.0,0.0,H,2005-2006,6.0,7.0,4.0,3.0,20.0,26.0,4.0,7.0,4.0,3.0,0.0,1.0
2005-09-25,Cagliari,Roma,0,0,D,0.0,0.0,D,2005-2006,8.0,12.0,3.0,5.0,12.0,17.0,2.0,3.0,2.0,2.0,0.0,0.0
2005-09-25,Empoli,Lecce,1,0,H,0.0,0.0,D,2005-2006,5.0,12.0,2.0,2.0,21.0,24.0,3.0,5.0,1.0,4.0,0.0,0.0
2005-09-25,Inter,Fiorentina,1,0,H,1.0,0.0,H,2005-2006,17.0,4.0,7.0,2.0,26.0,20.0,6.0,3.0,2.0,3.0,0.0,0.0
2005-09-25,Lazio,Palermo,4,2,H,0.0,1.0,A,2005-2006,8.0,10.0,5.0,4.0,23.0,21.0,8.0,7.0,2.0,3.0,0.0,0.0
2005-09-25,Livorno,Ascoli,2,0,H,0.0,0.0,D,2005-2006,9.0,5.0,2.0,2.0,10.0,15.0,4.0,3.0,0.0,2.0,0.0,1.0
2005-09-25,Sampdoria,Chievo,1,2,A,0.0,1.0,A,2005-2006,8.0,10.0,5.0,6.0,18.0,26.0,6.0,7.0,2.0,4.0,0.0,0.0
2005-09-25,Siena,Messina,4,2,H,3.0,1.0,H,2005-2006,12.0,6.0,5.0,3.0,17.0,16.0,6.0,2.0,1.0,2.0,0.0,0.0
2005-09-25,Treviso,Milan,0,2,A,0.0,1.0,A,2005-2006,6.0,12.0,2.0,6.0,22.0,13.0,4.0,2.0,3.0,0.0,0.0,0.0
2005-10-01,Chievo,Treviso,0,0,D,0.0,0.0,D,2005-2006,11.0,7.0,0.0,3.0,24.0,22.0,6.0,4.0,3.0,2.0,0.0,0.0
2005-10-01,Udinese,Lazio,3,0,H,0.0,0.0,D,2005-2006,19.0,6.0,10.0,1.0,18.0,25.0,10.0,1.0,2.0,3.0,0.0,0.0
2005-10-02,Ascoli,Parma,3,1,H,2.0,1.0,H,2005-2006,10.0,10.0,6.0,4.0,23.0,22.0,5.0,5.0,3.0,5.0,0.0,1.0
2005-10-02,Fiorentina,Livorno,3,2,H,2.0,0.0,H,2005-2006,11.0,9.0,5.0,5.0,19.0,21.0,2.0,7.0,2.0,2.0,0.0,1.0
2005-10-02,Juventus,Inter,2,0,H,2.0,0.0,H,2005-2006,8.0,11.0,5.0,6.0,29.0,22.0,1.0,9.0,2.0,3.0,0.0,0.0
2005-10-02,Lecce,Cagliari,3,0,H,2.0,0.0,H,2005-2006,11.0,17.0,8.0,7.0,24.0,16.0,4.0,8.0,0.0,3.0,0.0,0.0
2005-10-02,Messina,Sampdoria,1,4,A,0.0,1.0,A,2005-2006,18.0,12.0,10.0,7.0,15.0,18.0,5.0,0.0,4.0,3.0,0.0,0.0
2005-10-02,Milan,Reggina,2,1,H,2.0,0.0,H,2005-2006,17.0,8.0,7.0,1.0,13.0,10.0,7.0,1.0,1.0,0.0,0.0,0.0
2005-10-02,Palermo,Empoli,2,2,D,1.0,2.0,A,2005-2006,21.0,5.0,10.0,4.0,13.0,11.0,11.0,0.0,0.0,2.0,0.0,0.0
2005-10-02,Roma,Siena,2,3,A,0.0,1.0,A,2005-2006,15.0,5.0,9.0,4.0,19.0,17.0,14.0,5.0,2.0,3.0,0.0,1.0
2005-10-15,Juventus,Messina,1,0,H,1.0,0.0,H,2005-2006,14.0,8.0,10.0,4.0,24.0,26.0,6.0,1.0,2.0,4.0,0.0,0.0
2005-10-15,Siena,Udinese,2,3,A,0.0,2.0,A,2005-2006,11.0,13.0,6.0,8.0,16.0,19.0,3.0,6.0,2.0,4.0,0.0,1.0
2005-10-16,Ascoli,Sampdoria,2,1,H,1.0,0.0,H,2005-2006,13.0,13.0,9.0,7.0,17.0,19.0,4.0,9.0,2.0,1.0,0.0,0.0
2005-10-16,Cagliari,Milan,0,2,A,0.0,2.0,A,2005-2006,10.0,9.0,5.0,4.0,15.0,16.0,6.0,3.0,1.0,1.0,0.0,0.0
2005-10-16,Empoli,Roma,1,0,H,0.0,0.0,D,2005-2006,7.0,8.0,4.0,4.0,12.0,17.0,4.0,11.0,0.0,3.0,1.0,0.0
2005-10-16,Inter,Livorno,5,0,H,2.0,0.0,H,2005-2006,15.0,5.0,11.0,1.0,20.0,16.0,4.0,2.0,1.0,0.0,0.0,1.0
2005-10-16,Lazio,Fiorentina,1,0,H,0.0,0.0,D,2005-2006,10.0,12.0,9.0,4.0,15.0,21.0,8.0,7.0,1.0,3.0,0.0,0.0
2005-10-16,Palermo,Chievo,2,2,D,1.0,2.0,A,2005-2006,9.0,7.0,6.0,5.0,26.0,20.0,4.0,3.0,3.0,3.0,1.0,0.0
2005-10-16,Parma,Treviso,1,1,D,1.0,0.0,H,2005-2006,5.0,13.0,2.0,4.0,16.0,37.0,1.0,7.0,3.0,5.0,0.0,0.0
2005-10-16,Reggina,Lecce,2,0,H,1.0,0.0,H,2005-2006,12.0,9.0,8.0,4.0,12.0,25.0,4.0,3.0,2.0,4.0,0.0,1.0
2005-10-22,Fiorentina,Parma,4,1,H,3.0,0.0,H,2005-2006,11.0,9.0,6.0,4.0,12.0,17.0,6.0,5.0,1.0,2.0,0.0,0.0
2005-10-22,Messina,Ascoli,1,1,D,1.0,0.0,H,2005-2006,10.0,6.0,3.0,2.0,16.0,12.0,3.0,4.0,3.0,1.0,1.0,1.0
2005-10-23,Chievo,Cagliari,2,1,H,0.0,0.0,D,2005-2006,12.0,5.0,5.0,2.0,24.0,29.0,10.0,1.0,1.0,3.0,0.0,0.0
2005-10-23,Lecce,Juventus,0,3,A,0.0,1.0,A,2005-2006,5.0,17.0,2.0,9.0,30.0,27.0,9.0,5.0,1.0,0.0,0.0,0.0
2005-10-23,Livorno,Reggina,1,0,H,0.0,0.0,D,2005-2006,15.0,7.0,6.0,1.0,21.0,20.0,10.0,7.0,2.0,2.0,1.0,1.0
2005-10-23,Milan,Palermo,2,1,H,1.0,1.0,D,2005-2006,16.0,8.0,11.0,4.0,19.0,18.0,6.0,6.0,1.0,3.0,0.0,0.0
2005-10-23,Roma,Lazio,1,1,D,1.0,0.0,H,2005-2006,14.0,6.0,4.0,2.0,28.0,21.0,3.0,3.0,3.0,2.0,0.0,0.0
2005-10-23,Sampdoria,Siena,3,3,D,1.0,0.0,H,2005-2006,11.0,15.0,8.0,8.0,20.0,23.0,5.0,2.0,2.0,5.0,1.0,0.0
2005-10-23,Treviso,Empoli,1,2,A,0.0,1.0,A,2005-2006,17.0,10.0,6.0,4.0,19.0,17.0,10.0,3.0,1.0,2.0,0.0,0.0
2005-10-23,Udinese,Inter,0,1,A,0.0,1.0,A,2005-2006,9.0,17.0,4.0,10.0,20.0,20.0,1.0,8.0,2.0,3.0,0.0,0.0
2005-10-26,Ascoli,Udinese,1,1,D,1.0,0.0,H,2005-2006,7.0,8.0,4.0,4.0,17.0,19.0,3.0,9.0,1.0,0.0,0.0,0.0
2005-10-26,Cagliari,Livorno,1,1,D,0.0,0.0,D,2005-2006,14.0,5.0,5.0,3.0,16.0,25.0,8.0,2.0,2.0,3.0,0.0,0.0
2005-10-26,Empoli,Milan,1,3,A,1.0,1.0,D,2005-2006,8.0,16.0,4.0,8.0,13.0,13.0,5.0,10.0,0.0,1.0,0.0,0.0
2005-10-26,Inter,Roma,2,3,A,0.0,2.0,A,2005-2006,15.0,9.0,9.0,5.0,16.0,20.0,9.0,2.0,2.0,3.0,1.0,1.0
2005-10-26,Juventus,Sampdoria,2,0,H,1.0,0.0,H,2005-2006,14.0,12.0,9.0,4.0,24.0,25.0,3.0,7.0,0.0,2.0,0.0,0.0
2005-10-26,Palermo,Lecce,3,0,H,1.0,0.0,H,2005-2006,10.0,12.0,4.0,5.0,13.0,16.0,2.0,7.0,3.0,3.0,1.0,0.0
2005-10-26,Parma,Messina,1,1,D,1.0,0.0,H,2005-2006,11.0,14.0,5.0,8.0,15.0,22.0,4.0,3.0,1.0,4.0,0.0,0.0
2005-10-26,Reggina,Treviso,1,2,A,0.0,1.0,A,2005-2006,10.0,5.0,5.0,3.0,14.0,20.0,8.0,3.0,1.0,3.0,0.0,0.0
2005-10-26,Siena,Fiorentina,0,2,A,0.0,1.0,A,2005-2006,13.0,8.0,7.0,4.0,12.0,21.0,8.0,2.0,5.0,1.0,0.0,0.0
2005-10-29,Milan,Juventus,3,1,H,3.0,0.0,H,2005-2006,7.0,4.0,4.0,3.0,26.0,26.0,6.0,2.0,2.0,3.0,0.0,0.0
2005-10-29,Sampdoria,Inter,2,2,D,2.0,2.0,D,2005-2006,11.0,12.0,8.0,7.0,13.0,20.0,4.0,8.0,1.0,2.0,0.0,0.0
2005-10-30,Chievo,Empoli,2,2,D,1.0,1.0,D,2005-2006,14.0,7.0,6.0,4.0,13.0,21.0,6.0,2.0,2.0,1.0,0.0,0.0
2005-10-30,Fiorentina,Cagliari,2,1,H,0.0,1.0,A,2005-2006,7.0,11.0,4.0,6.0,22.0,14.0,4.0,5.0,3.0,3.0,0.0,2.0
2005-10-30,Lecce,Messina,0,2,A,0.0,0.0,D,2005-2006,14.0,10.0,6.0,5.0,22.0,25.0,5.0,3.0,2.0,4.0,0.0,0.0
2005-10-30,Livorno,Parma,2,0,H,2.0,0.0,H,2005-2006,7.0,8.0,3.0,5.0,15.0,13.0,3.0,5.0,1.0,1.0,0.0,0.0
2005-10-30,Reggina,Lazio,1,0,H,0.0,0.0,D,2005-2006,12.0,5.0,5.0,2.0,23.0,20.0,3.0,4.0,2.0,4.0,0.0,0.0
2005-10-30,Roma,Ascoli,2,1,H,1.0,0.0,H,2005-2006,13.0,9.0,8.0,5.0,19.0,15.0,9.0,2.0,1.0,3.0,1.0,0.0
2005-10-30,Treviso,Siena,0,1,A,0.0,1.0,A,2005-2006,7.0,10.0,3.0,4.0,23.0,18.0,3.0,7.0,2.0,1.0,0.0,0.0
2005-10-30,Udinese,Palermo,0,0,D,0.0,0.0,D,2005-2006,10.0,9.0,2.0,3.0,31.0,28.0,6.0,6.0,2.0,2.0,0.0,0.0
2005-11-05,Empoli,Reggina,3,0,H,1.0,0.0,H,2005-2006,12.0,11.0,8.0,4.0,23.0,17.0,3.0,7.0,1.0,1.0,0.0,0.0
2005-11-05,Lazio,Inter,0,0,D,0.0,0.0,D,2005-2006,7.0,9.0,3.0,3.0,16.0,18.0,3.0,8.0,2.0,3.0,0.0,0.0
2005-11-06,Ascoli,Fiorentina,0,2,A,0.0,1.0,A,2005-2006,5.0,11.0,3.0,5.0,17.0,13.0,6.0,3.0,2.0,1.0,0.0,0.0
2005-11-06,Cagliari,Treviso,0,0,D,0.0,0.0,D,2005-2006,14.0,7.0,7.0,2.0,19.0,23.0,6.0,1.0,2.0,4.0,0.0,0.0
2005-11-06,Juventus,Livorno,3,0,H,0.0,0.0,D,2005-2006,18.0,7.0,7.0,3.0,21.0,19.0,8.0,5.0,3.0,2.0,0.0,1.0
2005-11-06,Messina,Roma,0,2,A,0.0,1.0,A,2005-2006,11.0,9.0,7.0,5.0,24.0,11.0,7.0,3.0,4.0,2.0,0.0,0.0
2005-11-06,Milan,Udinese,5,1,H,3.0,0.0,H,2005-2006,7.0,4.0,4.0,3.0,26.0,26.0,6.0,2.0,2.0,3.0,0.0,0.0
2005-11-06,Palermo,Sampdoria,0,2,A,0.0,1.0,A,2005-2006,15.0,8.0,7.0,3.0,18.0,19.0,6.0,4.0,2.0,4.0,0.0,0.0
2005-11-06,Parma,Lecce,2,0,H,1.0,0.0,H,2005-2006,5.0,10.0,3.0,4.0,20.0,20.0,6.0,3.0,1.0,3.0,0.0,0.0
2005-11-06,Siena,Chievo,0,1,A,0.0,1.0,A,2005-2006,13.0,8.0,5.0,5.0,28.0,18.0,10.0,1.0,3.0,3.0,0.0,1.0
2005-11-19,Roma,Juventus,1,4,A,0.0,1.0,A,2005-2006,9.0,9.0,3.0,6.0,31.0,21.0,3.0,6.0,3.0,3.0,0.0,1.0
2005-11-19,Udinese,Messina,1,0,H,0.0,0.0,D,2005-2006,18.0,5.0,11.0,3.0,20.0,21.0,10.0,0.0,3.0,3.0,0.0,0.0
2005-11-20,Chievo,Ascoli,1,1,D,1.0,1.0,D,2005-2006,11.0,10.0,6.0,4.0,18.0,21.0,10.0,6.0,0.0,3.0,0.0,0.0
2005-11-20,Fiorentina,Milan,3,1,H,1.0,1.0,D,2005-2006,6.0,16.0,3.0,5.0,21.0,18.0,2.0,10.0,1.0,2.0,0.0,0.0
2005-11-20,Inter,Parma,2,0,H,0.0,0.0,D,2005-2006,15.0,6.0,9.0,3.0,16.0,18.0,8.0,3.0,2.0,3.0,0.0,0.0
2005-11-20,Lecce,Siena,3,0,H,1.0,0.0,H,2005-2006,18.0,8.0,12.0,5.0,20.0,19.0,10.0,3.0,2.0,4.0,0.0,0.0
2005-11-20,Livorno,Empoli,2,0,H,1.0,0.0,H,2005-2006,14.0,5.0,5.0,2.0,16.0,29.0,4.0,3.0,3.0,1.0,0.0,0.0
2005-11-20,Reggina,Cagliari,3,1,H,2.0,0.0,H,2005-2006,11.0,4.0,7.0,1.0,26.0,27.0,2.0,5.0,2.0,3.0,1.0,1.0
2005-11-20,Sampdoria,Lazio,2,0,H,0.0,0.0,D,2005-2006,11.0,6.0,8.0,1.0,27.0,18.0,9.0,4.0,3.0,2.0,0.0,0.0
2005-11-20,Treviso,Palermo,2,2,D,2.0,1.0,H,2005-2006,8.0,11.0,4.0,6.0,20.0,18.0,4.0,3.0,1.0,0.0,0.0,0.0
2005-11-26,Livorno,Chievo,0,0,D,0.0,0.0,D,2005-2006,14.0,5.0,2.0,2.0,22.0,30.0,8.0,3.0,2.0,3.0,0.0,0.0
2005-11-26,Milan,Lecce,2,1,H,1.0,0.0,H,2005-2006,18.0,10.0,6.0,3.0,14.0,22.0,3.0,0.0,1.0,3.0,0.0,0.0
2005-11-27,Ascoli,Palermo,1,1,D,0.0,1.0,A,2005-2006,5.0,5.0,3.0,2.0,18.0,20.0,0.0,6.0,2.0,3.0,0.0,0.0
2005-11-27,Cagliari,Sampdoria,2,0,H,1.0,0.0,H,2005-2006,6.0,9.0,3.0,1.0,23.0,12.0,2.0,7.0,3.0,3.0,0.0,0.0
2005-11-27,Empoli,Lazio,2,3,A,0.0,1.0,A,2005-2006,12.0,12.0,8.0,8.0,20.0,16.0,5.0,9.0,1.0,3.0,1.0,0.0
2005-11-27,Juventus,Treviso,3,1,H,2.0,1.0,H,2005-2006,11.0,4.0,6.0,3.0,14.0,24.0,3.0,3.0,0.0,0.0,0.0,0.0
2005-11-27,Messina,Inter,1,2,A,0.0,1.0,A,2005-2006,12.0,14.0,6.0,5.0,20.0,12.0,5.0,8.0,2.0,1.0,0.0,0.0
2005-11-27,Parma,Udinese,1,2,A,0.0,1.0,A,2005-2006,7.0,9.0,2.0,5.0,24.0,23.0,3.0,2.0,2.0,1.0,0.0,0.0
2005-11-27,Roma,Fiorentina,1,1,D,1.0,0.0,H,2005-2006,9.0,8.0,5.0,3.0,22.0,24.0,6.0,4.0,3.0,1.0,1.0,0.0
2005-11-27,Siena,Reggina,0,0,D,0.0,0.0,D,2005-2006,1.0,7.0,0.0,2.0,18.0,19.0,1.0,3.0,3.0,2.0,1.0,0.0
2005-12-03,Chievo,Milan,2,1,H,1.0,1.0,D,2005-2006,10.0,13.0,5.0,4.0,19.0,19.0,3.0,3.0,2.0,3.0,0.0,0.0
2005-12-03,Inter,Ascoli,1,0,H,1.0,0.0,H,2005-2006,15.0,9.0,8.0,3.0,18.0,15.0,8.0,2.0,1.0,0.0,0.0,0.0
2005-12-11,Ascoli,Reggina,1,1,D,0.0,0.0,D,2005-2006,9.0,5.0,5.0,3.0,23.0,20.0,3.0,6.0,4.0,2.0,0.0,1.0
2005-12-11,Inter,Milan,3,2,H,1.0,1.0,D,2005-2006,16.0,7.0,5.0,3.0,20.0,19.0,5.0,3.0,2.0,3.0,0.0,0.0
2005-12-11,Juventus,Cagliari,4,0,H,2.0,0.0,H,2005-2006,15.0,8.0,9.0,3.0,22.0,10.0,7.0,3.0,0.0,3.0,0.0,0.0
2005-12-11,Livorno,Lazio,2,1,H,0.0,0.0,D,2005-2006,9.0,13.0,5.0,7.0,23.0,15.0,2.0,7.0,1.0,0.0,0.0,0.0
2005-12-11,Parma,Sampdoria,1,1,D,1.0,0.0,H,2005-2006,9.0,7.0,4.0,4.0,27.0,25.0,3.0,7.0,4.0,4.0,0.0,0.0
2005-12-11,Roma,Palermo,1,2,A,1.0,1.0,D,2005-2006,6.0,6.0,3.0,2.0,10.0,16.0,2.0,8.0,1.0,3.0,0.0,0.0
2005-12-11,Udinese,Lecce,1,2,A,0.0,1.0,A,2005-2006,8.0,8.0,2.0,5.0,20.0,21.0,8.0,4.0,2.0,3.0,0.0,0.0
2005-12-18,Cagliari,Ascoli,2,1,H,2.0,0.0,H,2005-2006,4.0,12.0,3.0,6.0,22.0,23.0,4.0,7.0,2.0,4.0,0.0,0.0
2005-12-18,Chievo,Udinese,2,0,H,1.0,0.0,H,2005-2006,10.0,9.0,4.0,3.0,25.0,16.0,7.0,3.0,2.0,3.0,0.0,1.0
2005-12-18,Empoli,Fiorentina,1,1,D,0.0,0.0,D,2005-2006,6.0,19.0,2.0,6.0,19.0,20.0,2.0,7.0,3.0,1.0,0.0,0.0
2005-12-18,Milan,Messina,4,0,H,1.0,0.0,H,2005-2006,17.0,10.0,8.0,4.0,12.0,16.0,11.0,5.0,1.0,0.0,0.0,0.0
2005-12-18,Palermo,Livorno,0,2,A,0.0,0.0,D,2005-2006,9.0,10.0,4.0,5.0,12.0,21.0,8.0,1.0,2.0,2.0,1.0,0.0
2005-12-18,Reggina,Inter,0,4,A,0.0,3.0,A,2005-2006,10.0,20.0,5.0,10.0,10.0,19.0,6.0,7.0,2.0,3.0,0.0,0.0
2005-12-18,Sampdoria,Roma,1,1,D,0.0,1.0,A,2005-2006,9.0,11.0,4.0,6.0,20.0,21.0,3.0,4.0,3.0,2.0,0.0,0.0
2005-12-18,Siena,Parma,2,2,D,0.0,0.0,D,2005-2006,8.0,3.0,4.0,2.0,16.0,19.0,5.0,2.0,3.0,1.0,0.0,0.0
2005-12-21,Ascoli,Treviso,1,0,H,1.0,0.0,H,2005-2006,7.0,5.0,3.0,1.0,19.0,14.0,6.0,3.0,3.0,2.0,1.0,1.0
2005-12-21,Fiorentina,Palermo,1,0,H,1.0,0.0,H,2005-2006,10.0,10.0,3.0,6.0,20.0,24.0,1.0,7.0,2.0,1.0,0.0,0.0
2005-12-21,Inter,Empoli,4,1,H,2.0,0.0,H,2005-2006,17.0,6.0,9.0,4.0,18.0,17.0,9.0,2.0,0.0,1.0,0.0,0.0
2005-12-21,Juventus,Siena,2,0,H,1.0,0.0,H,2005-2006,10.0,6.0,6.0,5.0,31.0,28.0,8.0,2.0,2.0,1.0,0.0,0.0
2005-12-21,Lecce,Lazio,0,0,D,0.0,0.0,D,2005-2006,11.0,4.0,2.0,2.0,22.0,15.0,5.0,5.0,2.0,3.0,1.0,0.0
2005-12-21,Livorno,Milan,0,3,A,0.0,1.0,A,2005-2006,6.0,17.0,2.0,11.0,11.0,18.0,5.0,5.0,1.0,0.0,0.0,0.0
2005-12-21,Messina,Reggina,1,1,D,1.0,0.0,H,2005-2006,6.0,13.0,1.0,5.0,21.0,22.0,1.0,5.0,5.0,1.0,0.0,1.0
2005-12-21,Parma,Cagliari,1,0,H,1.0,0.0,H,2005-2006,5.0,7.0,4.0,1.0,21.0,19.0,3.0,8.0,3.0,3.0,0.0,0.0
2005-12-21,Roma,Chievo,4,0,H,2.0,0.0,H,2005-2006,12.0,7.0,6.0,3.0,21.0,11.0,1.0,8.0,1.0,2.0,0.0,1.0
2005-12-21,Udinese,Sampdoria,2,0,H,0.0,0.0,D,2005-2006,19.0,8.0,7.0,5.0,21.0,19.0,5.0,5.0,2.0,2.0,0.0,0.0
2006-01-07,Palermo,Juventus,1,2,A,1.0,2.0,A,2005-2006,12.0,13.0,6.0,6.0,20.0,25.0,7.0,6.0,2.0,2.0,0.0,0.0
2006-01-07,Reggina,Fiorentina,1,1,D,1.0,1.0,D,2005-2006,6.0,6.0,3.0,3.0,26.0,28.0,4.0,4.0,2.0,3.0,0.0,0.0
